Year,Title,Название,Genre,Director,Actors,Mark,Comment
2001,Avalon,Авалон,"Action, Drama, Fantasy",,,7,а вот этот фильм Мамору хорош.
2005,King Kong,Кинг Конг,,,,6,
2006,A Scanner Darkly,Помутнение,"Animation, Crime, Drama",,,6,хорошо.
1984,Once Upon a Time in America,Однажды в Америке,"Crime, Drama",,,8,бесспорная классика
1999,The Thirteenth Floor,Тринадцатый этаж,"Mystery, Sci-Fi, Thriller",,,8,"очень хорошо, этот стафф по мне."
1991,JFK,Джон Ф. Кеннеди: Выстрелы в Далласе,,,,6,неплохо
2013,The Zero Theorem,Теорема Zero,,,,6,неплохо
2006,A Scanner Darkly,Помутнение,,,"Keanu Reeves, Winona Ryder, Robert Downey Jr.",6,
2014,The hobbit: desolation of Smaug,Пустошь Смауга,,,,7,Красиво.
2014,Robocop,Робокоп,,,,5,
2014,Pompeii,Помпеи,,,,S,
2014,300: Rise of an Empire,300 спартанцев: Расцвет империи,,,,S,
2014,Need for speed,need for speed: жажда скорости,,,,6,
2014,22 Jump street,Мачо и ботан 2,,,,5,Funny
2014,Malificenta,Малифисэнта,,,,6,
2014,Sin city 2,Город грехов 2,,,,6,
2014,X-Men Days of Future Past,Люди икс. Дни минувшего будующего,,,,6,Весьма неплохо.
2014,Transformers: Age of Extinction,Трансформеры: Эпоха истребления,,,,2,Хуйня. Роботы с глазами на корабле локдауна выбесили.
2014,Sex tape,Домашнее видео,,,,5,Маршал.
2014,Guardians of the Galaxy,Стражи галактики,,,,7,Годно.
2014,Lucy,Люси,,,,6,неплохо.
2014,The Maze Runner,Бегущий в лабиринте,,,,2,Лажа.строго для школьника.
2014,Горько 2,Горько 2,,,,3,
2014,Hercules,Геракл,,,,6,Неплохо.
2014,The Hobbit: The Battle of the Five Armies,Хобит 3: Битва пяти воинств,,,,7,Достойно
2014,Birdman,Бёрдмэн,,,,8,Достойно
2014,The Imitation Game,Игра в имитацию,,,,7,"Неплохо, понравилось."
2014,Левиафан,Левиафан,,,,7,"Фильм не из приятных, но очень достойно."
2014,Как я провёл этим летом,Как я провёл этим летом,,,,7,"Мне понравилось, есть нотки триллера, держит в напряжении."
2014,Дурак,Дурак,,,,7,Достойно
2014,Духless 2,Духless 2,,,,3,Проходняк
2014,Kein System ist sicher,Кто я,,,,6,"Немецкий фильм о хакерах, довольно неплохо."
2014,Gone girl,Исчезнувшая,,David Fincher,,7,хорошо. Закрученный сюжет.
2014,Horrible Bosses 2,Несносные боссы 2,,,,3,довольно дебильная такая комедия.
2014,Inherent Vice,Врожденный порок,,,,5,"детективная история в антураже LA 70-80х, наркотики, хиппи, полиция, частный сыщик, к просмотру не рекомендую."
2015,Jupiter Ascending,Восхождение Юпитер,,,,2,Хуйня на постном масле.
2015,Furious seven,Форсаж 7,,,,4,"Плохо. Мало тачек, много пулек."
2015,Mad Max: Fury Road,Безумный Макс: Дорога ярости,"боевик, фантастика, приключения",George Miller,,8,Отличный экшон.
2015,The Martian,Марсианин,,,,7,неплохой сайфай
2015,Jurassic World,Мир Юрского периода,,,,1,Абсолютно нелепая хуйня.
2015,Aloha,Алоха,,,,6,"Бредли Купер, Эмма Стоун и Рэйчел Макадамс"
2015,Avengers: Age of Ultron,Мстители: Эра Альтрона,,,,7,неплохо
2015,Hitaman Agent 47,Хитман Агент 47,,,,4,весьма посредственно.
2015,Terminator Genisys,Терминатор: Генезис,"фантастика, боевик, триллер",Alan Taylor,,6,на один раз
2015,Fantastic Four,Фантастическая четверка,,,,5,строго для любителя комиксов.
2015,Pixels,Пиксели,,,,3,непритязательная комедия
2015,Chappie,Чаппи,,,,5,в главных ролях Die Antwoord
2015,Crimson peak,Багровый пик,"ужасы, фэнтези, триллер, драма, мелодрама, детектив",Guillermo del Toro,,7,достойно
2015,Ant-Man,Человек-Муравей,,,,6,"строго на один раз, проходняк."
2015,Dope,Наркотик,,,,2,"по-детски расссказывается о жизни банд, наркодиллеров, хип-хоп культуре."
2015,Straight Outta Compton,Голос улиц,"Biography, Drama, Music",,,5,биопик о культовой рэп-команде N.W.A.
2014,The Grand Budapest Hotel,Отель гранд Будапешт,,,,,
2015,McFarland,Тренер,"Biography, Drama, Sport",,,7,Споритвная драма о команде по бегу из неблагополучного штата. Мне понравилось.
2014,Big Eyes,Большие глаза,"Biography, Crime, Drama",Tim Burton,,5,Неплохой биопик о карьере женщины - художника в условиях Америки 50-х.
2015,The Last Witch Hunter,Последний охотник на ведьм,"Action, Adventure, Fantasy",,,5,Фэнтази про ведьм с Вин Дизель. Не так уж и плохо вышло.
2015,Ex Machina,Из машины,"Drama, Mystery, Sci-Fi",Alex Garland,,8,Люблю такие фильмы.
2015,Inside Out,Головоломка,,,,2,"Детский диснеевский мультик, студия Пиксар."
2015,The SpongeBob Movie: Sponge Out of Water,Губка Боб в 3D,,,,4,"мне нравится эксперименты в этом мульте, но я абсолютно не фанат Спанчбоба, поэтому как и ожидалось остался не в восторге."
2014,Pawn Sacrifice,Жертвуя пешкой,,,,6,Неплохой фильм про мир шахмат в период холодной войны
2015,Chi-Raq,Чирак,,,,1,"абсолютная фигня, причём ещё и нишевая."
2014,Transcendence,Превосходство,,,,6,"Неплохо, играет Depp."
2014,Maggie,Зараженная,"Drama, Triller",,,5,История про то как дочь фермера постепенно превращается в зомби. Играет Арни.
2015,Spectre,007: Спектр,,,,7,Очередная история про Бонда. Снято нелохо.
2015,Creed,Крид: Наследие Рокки,"drama, sport",,,6,продолжение истории про Роки Бальбоа.
2014,The Water Diviner,Искатель воды,drama,Russell Crowe,Russell Crowe,6,Драма по мотивам окончания 1 мировой войны
2015,The End of the Tour,Конец тура,drama,,Jason Segel,7,"Вроде ничего особенного, но меня зацепило."
2015,Legend,Легенда,"criminal, thriller",,Tom Hardy,7,"Снято на достойном стиле, красиво."
2015,In the Heart of the Sea,В сердце моря,,Ron Howard,Chris Hemsworth,6,"История про китобоев, Моби Дик, все дела. Довольно красиво."
2015,Steve Jobs,Стив Джобс,"Biography, Drama",,,4,"очередной биопик про Джобса, довольно слабо."
2015,Sicario,Наёмник,"Action, Crime, Drama",,"Emily Blunt, Benicio Del Toro",7,"достойно, мне даже понравилось."
2015,Black Mass,Черная месса,"drama, criminal",,Johnny Depp,5,Нелохой фильмец на один раз.
2015,Self/less,Вне/себя,,,,6,"Понравилась сама идея, но реализация не на высоте."
